timestamp,tweet_text,username,all_hashtags,followers_count
6/5/2019 13:47,@SmartCrowdAE Australia 🇦🇺  #WorldCup2019Quiz  #SmartCrowdContest #AFGvsAUS,b'Ashish21747492',"['WorldCup2019Quiz', 'SmartCrowdContest', 'AFGvsAUS']",8
6/3/2019 11:19,@SmartCrowdAE Australia #SmartCrowdContest #AFGVSAUS @SmartCrowdAE,b'priyu_16',"['SmartCrowdContest', 'AFGVSAUS']",583
6/3/2019 8:18,@sixitsports Bangladesh  #WiNiT #SixiT #Contest #Predict #Win @sixitsports #AFGvsAus #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  Join @HimanshuRijhwa3  @pavangaulkar14  @witty_vishal  @Jay_parmar17 @misssmita3  @Sanjiv_34,b'G_hsr7',"['WiNiT', 'SixiT', 'Contest', 'Predict', 'Win', 'AFGvsAus', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",700
6/3/2019 2:37,@SmartCrowdAE Australia #WorldCup2019Quiz  #SmartCrowdContest #AFGvsAUS,b'Shailes78836957',"['WorldCup2019Quiz', 'SmartCrowdContest', 'AFGvsAUS']",633
6/2/2019 22:30,Defending champions Australia defeat Afghanistan by 7 wickets   #ICCWorldCup2019 #ICCWC2019 #CWC19 #AFGvAUS #AusvAFG #AFGvsAUS #AUSvsAFG #Afghanistan #Australia  https://t.co/kO0iSaoQaU,b'PigeonExpress_',"['ICCWorldCup2019', 'ICCWC2019', 'CWC19', 'AFGvAUS', 'AusvAFG', 'AFGvsAUS', 'AUSvsAFG', 'Afghanistan', 'Australia']",701
6/2/2019 18:38,Love CRICKET? Follow @BadaCricket and stay updated. #SockThem! #CWC19     #WorldCup2019  #CWC2019 #AFGvsAUS #WIvsPAK #ICCCricketWorldCup2019 #CWC19 #PakistanCricketTeam #NZvsSL  #ICCCricketWorldCup #ICC2019 #Kohli #SAvBan #SAvsBAN   #PAKvENG #SouthAfrica #TeamIndia https://t.co/2rcm9eHRY6,b'BadaCricket',"['SockThem', 'CWC19', 'WorldCup2019', 'CWC2019', 'AFGvsAUS', 'WIvsPAK', 'ICCCricketWorldCup2019', 'CWC19', 'PakistanCricketTeam', 'NZvsSL', 'ICCCricketWorldCup', 'ICC2019', 'Kohli', 'SAvBan', 'SAvsBAN', 'PAKvENG', 'SouthAfrica', 'TeamIndia']",28
6/2/2019 17:40,Defending champions Australia defeat Afghanistan by 7 wickets   #ICCWorldCup2019 #ICCWC2019 #CWC19 #AFGvAUS #AusvAFG #AFGvsAUS #AUSvsAFG #Afghanistan #Australia  https://t.co/kO0iSa7eMk,b'PigeonExpress_',"['ICCWorldCup2019', 'ICCWC2019', 'CWC19', 'AFGvAUS', 'AusvAFG', 'AFGvsAUS', 'AUSvsAFG', 'Afghanistan', 'Australia']",701
6/2/2019 13:14,Love CRICKET? Follow @BadaCricket and stay updated. #SockThem! #CWC19    #WorldCup2019  #CWC2019 #AFGvsAUS #WIvsPAK #ICCCricketWorldCup2019 #CWC19  #SLvNZ #NZvsSL  #ICCCricketWorldCup #ICC2019 #Kohli #SAvBan #SAvsBAN   #Australia #SouthAfrica #TeamIndia https://t.co/URVJER2qTa,b'BadaCricket',"['SockThem', 'CWC19', 'WorldCup2019', 'CWC2019', 'AFGvsAUS', 'WIvsPAK', 'ICCCricketWorldCup2019', 'CWC19', 'SLvNZ', 'NZvsSL', 'ICCCricketWorldCup', 'ICC2019', 'Kohli', 'SAvBan', 'SAvsBAN', 'Australia', 'SouthAfrica', 'TeamIndia']",28
6/2/2019 13:07,@sixitsports South Africa  #WiNiT #SixiT #Contest #Predict #Win @sixitsports #AFGvsAus #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  Join @raj_vijayan @LoveMusicandLFC @acidkidrock @deryl06 @sayed_ejaz,b'ArafatBagalkot',"['WiNiT', 'SixiT', 'Contest', 'Predict', 'Win', 'AFGvsAus', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",41
6/2/2019 10:41,@sixitsports South Africa  #WiNiT #SixiT #Contest #Predict #Win @sixitsports #AFGvsAus #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  join @mysterioussu @Sagar14Naik  @THEMURTUZA @porwal_shilpi  @taru_bhatt02 @acidkidrock  @gsrana4580  @SapnaChawla84__,b'montu13713',"['WiNiT', 'SixiT', 'Contest', 'Predict', 'Win', 'AFGvsAus', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",1410
6/2/2019 10:32,@SmartCrowdAE Australia #SmartCrowdContest #AFGVSAUS @SmartCrowdAE Join @NikitaBobade3 @PreetiSanghavi1 @misty_basu @PinkyDholakia @piyushpuri12,b'cuteushakumari',"['SmartCrowdContest', 'AFGVSAUS']",1379
6/2/2019 10:04,@sixitsports South Africa 🏆🏆🏆🏆😍😍🏏🏏🏏🏏 #WiNiT #SixiT #Contest #Predict #Win @sixitsports #AFGvsAus #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz,b'jadumani_tarai',"['WiNiT', 'SixiT', 'Contest', 'Predict', 'Win', 'AFGvsAus', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",131
6/2/2019 9:09,@sixitsports 👉South Africa👈  #WiNiT #SixiT #Contest #Predict #Win  @sixitsports  #AFGvsAus #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz,b'Sanket_b23',"['WiNiT', 'SixiT', 'Contest', 'Predict', 'Win', 'AFGvsAus', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",255
6/2/2019 9:03,@SmartCrowdAE Australia #SmartCrowdContest #AFGVSAUS  #WorldCup2019Quiz @CoolRahul_kumar  @shilpaparmar3  @PromisePoulose,b'skrana111',"['SmartCrowdContest', 'AFGVSAUS', 'WorldCup2019Quiz']",225
6/2/2019 8:57,@SmartCrowdAE Australia #SmartCrowdContest #AFGVSAUS  #WorldCup2019Quiz @semeet  @namitavsuri  @Shilpa4669,b'parulghalout',"['SmartCrowdContest', 'AFGVSAUS', 'WorldCup2019Quiz']",1739
6/2/2019 8:48,Kohli has a thumb injury. Love CRICKET? Follow @BadaCricket and stay updated. #SockThem! #CWC19   #WorldCup2019  #CWC2019 #AFGvsAUS #WIvsPAK #ICCCricketWorldCup2019 #CWC19 #SLvNZ #NZvsSL  #ICCCricketWorldCup #ICC2019 #Kohli #SAvBan #SAvsBAN   #Australia #SouthAfrica #TeamIndia https://t.co/ID9RY9mZjh,b'BadaCricket',"['SockThem', 'CWC19', 'WorldCup2019', 'CWC2019', 'AFGvsAUS', 'WIvsPAK', 'ICCCricketWorldCup2019', 'CWC19', 'SLvNZ', 'NZvsSL', 'ICCCricketWorldCup', 'ICC2019', 'Kohli', 'SAvBan', 'SAvsBAN', 'Australia', 'SouthAfrica', 'TeamIndia']",28
6/2/2019 8:41,Performed better than PAK and SL.. #AFGvsAUS https://t.co/ZbAu5daWhw,b'VDevotte',['AFGvsAUS'],0
